,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
46,"Saturday October 5, 2024",Serie A ,7,922493f3,Atalanta,Gian Piero Gasperini,3-4-3,5,3.6,0.7,1,Genoa,Alberto Gilardino,3-5-2,658bf2de,LLWLD,11.0,-9,WL,2.0,-1,2.5,1.65,2.5,1.4,WLDLL,15.0,-2,WL,12.0,0,0.5,0.6,1.0,1.05
47,"Saturday October 5, 2024",Serie A ,7,04eea015,Udinese,Kosta Runjaić,3-5-2,1,0.9,0.5,0,Lecce,Luca Gotti,4-2-3-1,ffcbe334,WWWLL,6.0,7,WWL,6.0,6,1.6666666666666667,0.8666666666666667,1.3333333333333333,1.7000000000000002,LWDDL,15.0,2,LDL,20.0,-2,0.0,0.7999999999999999,1.6666666666666667,1.4666666666666668
48,"Saturday September 14, 2024",Serie A ,4,dc56fe14,Milan,Paulo Fonseca,4-3-3,4,2.2,0.3,0,Venezia,Eusebio Di Francesco,5-4-1,af5d5982,DLD,14.0,-4,D,2.0,-2,2.0,2.1,2.0,1.0,LDL,19.0,1,LD,18.0,1,0.5,0.6,1.5,1.65
49,"Saturday September 14, 2024",Serie A ,4,28c9c3cd,Como,Cesc Fàbregas,4-2-3-1,2,1.2,1.2,2,Bologna,Vincenzo Italiano,4-1-4-1,1d8099f8,LDL,19.0,-5,,8.0,-2,,,,,DLD,14.0,-4,L,5.0,0,0.0,0.6,3.0,2.5
50,"Saturday September 14, 2024",Serie A ,4,a3d88bd8,Empoli,Captain: Alberto Grassi,3-4-3,0,0.5,0.9,0,Juventus,Thiago Motta,4-2-3-1,e0652b02,DWD,7.0,-1,D,14.0,0,0.0,0.5,0.0,0.3,WWD,1.0,-2,W,1.0,-2,3.0,1.2,0.0,0.5
51,"Saturday September 21, 2024",Serie A ,5,e0652b02,Juventus,Thiago Motta,4-2-3-1,0,0.3,0.3,0,Napoli,Antonio Conte,4-2-3-1,d48ad4ff,WWDD,3.0,-4,WD,9.0,-4,1.5,0.85,0.0,0.25,LWWW,2.0,0,LW,3.0,0,2.0,1.45,1.5,1.35
52,"Saturday September 21, 2024",Serie A ,5,ffcbe334,Lecce,Luca Gotti,4-2-3-1,2,1.5,2.0,2,Parma,Fabio Pecchia,4-2-3-1,eab4234c,LLWD,12.0,1,LW,14.0,4,0.5,1.6,2.0,1.75,DWLL,12.0,1,L,15.0,-1,1.0,1.7,2.0,2.2
53,"Saturday September 21, 2024",Serie A ,5,af5d5982,Venezia,Eusebio Di Francesco,3-5-2,2,1.7,0.5,0,Genoa,Alberto Gilardino,3-5-2,658bf2de,LDLL,20.0,1,L,9.0,0,0.0,0.8,1.0,1.0,DWLD,10.0,-2,W,15.0,0,1.0,0.7,0.0,0.4
54,"Saturday September 28, 2024",Serie A ,6,1d8099f8,Bologna,Vincenzo Italiano,4-3-3,1,0.1,2.0,1,Atalanta,Gian Piero Gasperini,3-4-1-2,922493f3,DLDDW,9.0,-4,DD,10.0,-3,1.0,2.25,1.0,0.95,WLLWL,9.0,-7,WLL,7.0,-8,1.6666666666666667,2.033333333333333,2.0,1.7333333333333334
55,"Saturday September 28, 2024",Serie A ,6,658bf2de,Genoa,Alberto Gilardino,3-5-2,0,0.4,2.6,3,Juventus,Thiago Motta,4-2-3-1,e0652b02,DWLDL,14.0,-2,DLD,18.0,-1,1.0,1.5999999999999999,1.6666666666666667,1.8666666666666665,WWDDD,4.0,-4,WD,1.0,-1,1.5,1.05,0.0,0.5
